"","SPX","NKY","KOSPI","HSI","TWSE","UKX","AS51"
"2022-06-14",0.000445013531706582,0.000104787135569059,0.000136726073532032,0.000282135255161265,0.000120950519358734,0.000105433594795438,0.000105029315817227
"2022-06-15",0.000408115308038789,0.000112222825392046,0.000157492161146585,0.000267968636847558,0.000114406261426494,0.000106522645797103,0.000122671470976833
"2022-06-16",0.000471959099107867,0.00010695763664003,0.000149182229065117,0.000316373141483226,0.000124871338602809,0.000209557241823701,0.000121640933028677
"2022-06-17",0.000415998195890264,9.94138469418717e-05,0.000148818078293512,0.000352919191947958,0.00011739799685951,0.000189979767263408,0.000110907882107042
"2022-06-21",0.000426656615710198,9.79821371820458e-05,0.00015536782249431,0.000357567320422993,0.000111263450217436,0.000196386912022319,0.000102224840347758
"2022-06-22",0.000376219857844103,0.000115103700509874,0.00025965304095571,0.000427133022987923,0.000178892533723036,0.000194070175087384,0.000106034728702354
"2022-06-23",0.000341318962215568,0.00010623684382814,0.000249640160088193,0.000405182023161304,0.000174047686927398,0.000186386018798933,9.76529185130602e-05
"2022-06-24",0.000406610028857993,0.000108756317051738,0.000263932541880288,0.000401558599777395,0.000165071111351786,0.0002093541992154,9.23371577690675e-05
"2022-06-27",0.000358479092867621,0.000100595180371774,0.000244099801251178,0.000374732709055014,0.000155900256841866,0.000189946459451953,8.77171712388787e-05
"2022-06-28",0.000360677088268366,0.000101408340273616,0.000233671103620149,0.000357569469576573,0.000149110410258175,0.000184620564342674,9.29322925008866e-05
"2022-06-29",0.000318813958162034,9.35025190725092e-05,0.000226712328899681,0.000337718767386008,0.000144308026523048,0.000172196090012903,8.53388668910786e-05
"2022-06-30",0.00029099044742887,0.000112184007144856,0.00024078575099731,0.000316554071979193,0.000183220034368145,0.000192334468964888,0.00011810483424945
"2022-07-01",0.000265697339754285,0.000117050493283302,0.000227199722196363,0.000293447792179402,0.00023183056152475,0.000174600898036079,0.000107882250194392
"2022-07-05",0.000235574056751485,0.000121621132313947,0.000220477699132491,0.000274417981469809,0.000218163824019168,0.000209355814781216,0.000104389160334599
"2022-07-06",0.000209815368907225,0.000114553939744693,0.0002286289151143,0.00025903477072973,0.000243386636573026,0.00019572034462704,9.50432134835877e-05
"2022-07-07",0.000210805120495607,0.000112897033610451,0.000228122788091962,0.000240019584880468,0.000260302054739698,0.000190165548187367,8.75447259218792e-05
"2022-07-08",0.000186716235448437,0.000107037351100817,0.000211003586324852,0.000222738965297538,0.000244861960393875,0.000172554188827674,7.99283144940781e-05
"2022-07-11",0.000181160409376466,0.000111454143384208,0.000196436605706522,0.000261306515864367,0.000233584965082736,0.000156561588850886,8.22516351943776e-05
"2022-07-12",0.000174890323068739,0.00011821677427726,0.000185120521328532,0.000250564824340538,0.000255719935735004,0.000144984751345475,7.55182097784615e-05
"2022-07-13",0.000158173525660689,0.000113453550761113,0.000175640435689125,0.000231737582509756,0.000293319684647914,0.000133091731828503,7.08756424261539e-05
"2022-07-14",0.000142347865344599,0.000114303222313378,0.000162623821336481,0.000214660044063728,0.000282237527588837,0.000144574138894362,7.0249230978097e-05
"2022-07-15",0.000163688715727087,0.000116647223245371,0.000154778084536751,0.00022135925103562,0.000271088806313719,0.000151039006482303,6.48393015764033e-05
"2022-07-18",0.00015192546627633,0.000121056332612636,0.000149870960457782,0.00021852880339774,0.000255542336064913,0.00013995730899197,5.98243978941647e-05
"2022-07-19",0.000211836540524318,0.000119523162826733,0.000138962521026612,0.000203433332831348,0.000239183103096815,0.000146536857523988,5.52633458155685e-05
"2022-07-20",0.000193910611073912,0.000124057278822257,0.000130609891165325,0.000189442060706435,0.0002265901141841,0.000145487564228401,5.25286355428539e-05
"2022-07-21",0.000184128028811335,0.000117784982961011,0.000128250367410494,0.00019022957813153,0.000221803139648699,0.000132292205777012,5.25239629599427e-05
"2022-07-22",0.000172300103416522,0.000107999267682989,0.000126814943743221,0.000177208480551357,0.000207792242245349,0.000120647193039961,4.91072069651735e-05
